Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,4.5,-1.0,0.85,2,-27.19102976944445,-27.06238567466642,-26.58142476232139,-31.047161675093996
500,4.5,-1.0,0.85,10,-27.312174323148362,-27.209601533524985,-26.685449780393768,-30.965202692886646
500,4.5,-0.5,0.1,-1,-27.88079581768358,-27.102927877515988,-25.76212373028922,-30.888599079045576
500,4.5,-0.5,0.1,2,-27.784700147093556,-27.259486187463324,-25.961276727370567,-30.90230291021752
500,4.5,-0.5,0.1,10,-27.836861338125082,-27.418885617020994,-26.155957789406088,-30.819631545223103
500,4.5,-0.5,0.55,-1,-28.14201318854149,-27.05750597897884,-26.011550965710452,-30.918153963027926
500,4.5,-0.5,0.55,2,-28.033199963693413,-27.254982438361203,-26.278288534776216,-30.90060657322486
500,4.5,-0.5,0.55,10,-28.20436202550646,-27.553414522880765,-26.55632270356726,-30.68736581233336
500,4.5,-0.5,0.85,-1,-28.085872789205204,-27.027046199687717,-26.089281071592737,-30.929570743425433
500,4.5,-0.5,0.85,2,-27.98557572357373,-27.216134869159553,-26.377963085757344,-30.897052446499856
500,4.5,-0.5,0.85,10,-28.200686142808557,-27.53677282344055,-26.64717546571513,-30.642119929658243
500,4.5,-0.25,0.1,-1,-28.219815190312435,-27.254498468256934,-25.68522630556998,-30.800286191488006
500,4.5,-0.25,0.1,2,-28.110893999220067,-27.419654435338106,-25.962952962807258,-30.802317934542707
500,4.5,-0.25,0.1,10,-28.184712472324453,-27.63733913056177,-26.18811963878006,-30.60565778153951
500,4.5,-0.25,0.55,-1,-28.46604977462491,-27.143139581972534,-25.919296422302285,-30.83564370795241
500,4.5,-0.25,0.55,2,-28.340606566019094,-27.35368239032008,-26.25762332553243,-30.783476747922652
500,4.5,-0.25,0.55,10,-28.490002683517407,-27.751280241100456,-26.625334755370247,-30.388435243110806
500,4.5,-0.25,0.85,-1,-28.359172861013754,-27.06298787053141,-25.99597189044353,-30.848563928309574
500,4.5,-0.25,0.85,2,-28.273896559742944,-27.31696716804805,-26.357586948501996,-30.782274397178337
500,4.5,-0.25,0.85,10,-28.456570065458884,-27.669043311246373,-26.670147574579634,-30.430936073159604
500,4.5,+0.0,0.1,-1,-28.431254386279356,-27.378000649933757,-25.68404585245061,-30.72854357792785
500,4.5,+0.0,0.1,2,-28.320731697338374,-27.552475088440328,-26.02174194876205,-30.69685473143265
500,4.5,+0.0,0.1,10,-28.381524318373966,-27.75233113789875,-26.192896346716683,-30.455015202839633
500,4.5,+0.0,0.55,-1,-28.698489350627042,-27.23202267452593,-25.865210406108904,-30.755171272169797
500,4.5,+0.0,0.55,2,-28.521426489708123,-27.40281943168229,-26.260804808485815,-30.65335349704684
500,4.5,+0.0,0.55,10,-28.73532443084731,-27.793307487364363,-26.636138736881044,-30.187519000759817
