Teff,logg,logZ,CtoO,logKzz,F115W,F150W,F277W,F444W
500,4.0,+0.5,0.1,10,-28.261743325022053,-27.73032692956147,-26.3304053591081,-30.111313543349322
500,4.0,+0.5,0.55,-1,-28.625814025194924,-27.16725929419175,-25.956279364445397,-30.55432464920337
500,4.0,+0.5,0.55,2,-28.412198507522707,-27.260165640661214,-26.565306593038333,-30.190792866001157
500,4.0,+0.5,0.55,10,-28.757488811181716,-27.58658810403044,-26.756305382772744,-29.694564926964567
500,4.0,+0.5,0.85,-1,-28.63084166624847,-27.143151086156614,-26.057266764430615,-30.579932082614857
500,4.0,+0.5,0.85,2,-28.49421689762865,-27.31139987116849,-26.659859462509147,-30.08560624848132
500,4.0,+0.5,0.85,10,-28.770105720113154,-27.624570540440057,-26.868873461031452,-29.564401098404115
500,4.0,+0.75,0.1,-1,-28.54880383879945,-27.375669896238595,-25.813998925181714,-30.48466685554748
500,4.0,+0.75,0.1,2,-28.36395091495949,-27.35089531063917,-26.39620454556418,-30.17348886090035
500,4.0,+0.75,0.1,10,-28.11687532604659,-27.724320083713167,-26.329218778883394,-30.03130889339387
500,4.0,+0.75,0.55,-1,-28.610562286792984,-27.151211138893277,-26.045249231117666,-30.514806599384293
500,4.0,+0.75,0.55,2,-28.43665950207003,-27.206706222716566,-26.622796336004306,-29.995148055212685
500,4.0,+0.75,0.55,10,-28.772866793203484,-27.55795841034012,-26.71922706683574,-29.616528898260906
500,4.0,+0.75,0.85,-1,-28.704313673399888,-27.08501876782506,-26.120743034972776,-30.527979871542357
500,4.0,+0.75,0.85,2,-28.553257314937817,-27.22535989937394,-26.71750084197579,-29.871472411692093
500,4.0,+0.75,0.85,10,-28.774881810102894,-27.53199692072805,-26.885129986150865,-29.396672810053484
500,4.0,+1.0,0.1,-1,-28.48502651673311,-27.316900619443068,-25.90981288810894,-30.44850814281933
500,4.0,+1.0,0.1,2,-28.307914189211715,-27.24558692626499,-26.434316407709446,-30.031812815591344
500,4.0,+1.0,0.1,10,-27.861216870586407,-27.673254444995813,-26.303750090494276,-29.959724565394357
500,4.0,+1.0,0.55,-1,-28.578001767801343,-27.14458300343956,-26.095678715129374,-30.463118557450866
